"standingId",competition,competitionTier,"season","position","teamId","team","played","points","won","drawn","lost","goals","goalsAgainst","goalsDifference","yellowCards","redCards","note"
"TIER_TWO-2020-1",V.League 2,TIER_TWO,"2020","1","BIDI","Topenland Bình Định","16","35","11","3","2","29","12","17","28","1","A"
"TIER_TWO-2020-2",V.League 2,TIER_TWO,"2020","2","BRVT","Bà Rịa-Vũng Tàu","16","32","9","2","5","21","13","8","25","1","A"
"TIER_TWO-2020-3",V.League 2,TIER_TWO,"2020","3","KHH","Khánh Hòa","16","30","9","4","3","24","12","12","19","1","A"
"TIER_TWO-2020-4",V.League 2,TIER_TWO,"2020","4","PHI","Phố Hiến","16","26","7","4","5","19","12","7","23","1","A"
"TIER_TWO-2020-5",V.League 2,TIER_TWO,"2020","5","BPH","Bình Phước","16","18","5","8","3","12","18","-6","28","0","A"
"TIER_TWO-2020-6",V.League 2,TIER_TWO,"2020","6","ANGI","An Giang","16","17","4","7","5","16","20","-4","31","1","A"
"TIER_TWO-2020-7",V.League 2,TIER_TWO,"2020","7","TNI","XM Fico - YTL Tây Ninh","16","20","5","6","5","14","20","-6","42","1","B"
"TIER_TWO-2020-8",V.League 2,TIER_TWO,"2020","8","CAT","Cần Thơ","16","19","5","7","4","20","24","-4","30","2","B"
"TIER_TWO-2020-9",V.League 2,TIER_TWO,"2020","9","HUE","Huế","16","18","4","6","6","16","21","-5","28","1","B"
"TIER_TWO-2020-10",V.League 2,TIER_TWO,"2020","10","DAL","Đắk Lắk Lắk","16","16","3","6","7","14","19","-5","28","3","B"
"TIER_TWO-2020-11",V.League 2,TIER_TWO,"2020","11","LAN","Long An","16","16","4","8","4","13","20","-7","28","1","B"
"TIER_TWO-2020-12",V.League 2,TIER_TWO,"2020","12","DOT","Đồng Tháp","16","15","4","9","3","23","30","-7","37","1","B"
